id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
97	algal	-0.6374	0.0013	4	200	237	17	2016.8235
98	algal biodiesel production	-0.6735	-0.0007	4	166	209	15	2014.2
99	algal biofuel	-0.7253	-0.2882	4	553	1111	80	2015.525
100	algal biofuel production	-0.7458	-0.3534	2	323	517	32	2016.2812
101	algal biomass	-0.6609	0.0975	4	950	2223	139	2016.518
102	algal biomass production	-0.8597	-0.1324	4	150	193	13	2017.1538
103	algal biorefinery	-0.7388	-0.3543	2	187	243	15	2017.9333
104	algal cell	-0.8605	0.1124	4	279	480	35	2015.3429
105	algal cultivation	-0.8383	-0.1364	4	248	374	23	2016.0435
106	algal culture	-0.7971	0.017	4	207	296	18	2013.8889
107	algal feedstock	-0.6691	-0.1569	4	135	162	11	2016.7273
108	algal growth	-0.8976	-0.0204	4	278	459	29	2015.6897
109	algal lipid	-0.7168	0.1647	4	246	339	23	2014.7391
110	algal species	-0.7312	0.1642	4	345	554	32	2016.9062
111	algal strain	-0.7747	0.0456	4	369	634	38	2015.8947
112	aliphatic	-0.0844	0.5973	1	151	197	13	2016.7692
113	aliphatic hydrocarbon	-0.0929	0.5209	1	318	480	34	2016.2353
114	alkali catalyst	-0.1044	0.5127	1	189	323	25	2012.8
115	alkali catalyzed transesterification	-0.0334	0.4301	1	113	146	12	2012.5
116	alkaline	-0.3749	0.3515	1	381	602	44	2015.4318
117	alkaline catalyst	0.0854	0.5329	1	250	448	32	2013.375
118	alkaline transesterification	-0.0399	0.3961	1	311	487	32	2015.9688
119	alkane	-0.088	0.5409	1	1258	3899	260	2016.1846
120	alkene	0.005	0.5166	1	631	1356	87	2015.8736
121	alkyl	0.3102	0.3988	1	175	206	14	2016.7857
122	alkylation	-0.206	0.7468	1	273	512	32	2017.7188
123	allocation	-0.6183	-0.6574	2	576	1171	75	2015.0667
124	allocation method	-0.5725	-0.7449	2	240	373	23	2016.087
125	alternate fuel	0.8849	-0.1991	3	526	1265	85	2016.0824
126	alternative scenario	-0.4287	-0.8201	2	219	287	17	2015.1765
127	alternative technology	-0.2593	-0.4014	2	155	187	14	2016.2143
128	alumina	0.2628	0.6886	1	590	1160	66	2016.6061
129	amberlyst	-0.0993	0.8141	1	369	796	55	2015.5091
130	ambient pressure	0.4777	0.3182	3	252	369	28	2016.25
131	america	-0.5127	-0.5924	2	266	352	23	2014.4348
132	american	-0.4623	0.0231	4	192	249	13	2017.3846
133	american society	0.0482	0.3012	1	593	1147	69	2016.5072
134	american standard	-0.1854	0.5975	1	158	220	15	2013.9333
135	ammonium	-0.5521	-0.1026	4	270	388	25	2015.4
136	amplitude	0.0228	0.3671	1	177	272	19	2017.5263
137	anaerobic biodegradation	-0.2904	0.0589	4	66	91	11	2015.5455
138	anaerobic co digestion	-0.6139	-0.3542	2	132	177	14	2017.3571
139	anaerobic condition	-0.6729	0.1279	4	148	233	18	2014.7778
140	anaerobic digestion	-0.6679	-0.3151	2	834	1926	138	2016.4275
141	anaerobic fermentation	-0.677	-0.1224	4	136	164	17	2014.8235
142	analyte	0.1391	0.2549	1	141	203	26	2015.0385
143	analytic hierarchy process	-0.3591	-0.63	2	97	115	11	2015.4545
144	anfis	0.3207	-0.0295	3	120	171	16	2019.625
145	anhydrosugar	-0.1259	0.2137	1	145	194	13	2015
146	animal fat biodiesel	0.6751	-0.1873	3	128	165	13	2015.5385
147	animal feed	-0.6547	-0.3503	2	405	590	44	2015.3864
148	animal manure	-0.6729	-0.6382	2	114	137	10	2011.5
149	anion	-0.1668	0.7448	1	183	257	15	2016.8667
150	anisole	0.2481	0.5307	1	227	316	20	2017.8
151	ann	0.504	0.0713	3	492	1094	68	2017.5735
152	ann model	0.6612	0.0131	3	311	589	34	2018.3529
153	annum	-0.5433	-0.6413	2	149	191	12	2016.1667
154	anova	0.458	0.1939	3	368	610	37	2017.5946
155	anthracene	0.4157	-0.1201	3	97	151	11	2015
156	antioxidant	0.2763	0.2481	1	589	1337	119	2016.2605
157	antioxidant activity	0.0343	0.2509	1	145	195	16	2017.25
158	antioxidant additive	0.3819	0.2485	1	228	408	34	2016.8529
159	antioxidant property	0.0014	0.2026	1	111	137	12	2018.1667
160	apparent activation energy	0.0431	0.7013	1	189	245	16	2016.9375
161	april	-0.2038	-0.4942	2	231	356	27	2014.2222
162	aquaculture	-0.7223	-0.1481	4	161	199	14	2018.3571
163	aqueous fraction	-0.3626	0.3979	1	120	158	12	2016.4167
164	aqueous medium	-0.3184	0.5874	1	158	186	15	2017.4667
165	aqueous solution	-0.1266	0.4505	1	311	407	37	2015.2432
166	arabidopsis	-0.6892	-0.1445	2	119	210	18	2016.0556
167	arable land	-0.5599	-0.5367	2	505	871	57	2014.5965
168	argentina	-0.5053	-0.7447	2	263	382	25	2014.72
169	argument	-0.3654	-0.7767	2	182	229	19	2014.5263
170	arid region	-0.4988	-0.5585	2	166	196	14	2016.2143
171	aromatic	0.0195	0.5	1	1104	2829	189	2015.9365
172	aromatic hydrocarbon	0.0173	0.4697	1	590	1188	74	2016.5676
173	aromatic ring	0.1956	0.3187	1	248	318	17	2016.9412
174	aromatization	-0.195	0.7492	1	230	363	22	2017.3636
175	arrhenius equation	0.2146	0.5653	1	117	143	11	2016.8182
176	artificial neural network	0.5531	0.0457	3	577	1306	89	2017.382
177	asia	-0.2565	-0.5599	2	413	661	52	2012.8462
178	aspen	-0.5262	-0.2414	2	263	384	26	2018.5
179	aspen plus	-0.451	-0.1917	2	336	563	42	2016.9286
180	aspergillus niger	-0.4993	0.2947	4	136	155	11	2015.3636
181	aspirated diesel engine	1.2685	0.0128	3	171	311	15	2018.4
182	assumption	-0.4426	-0.5826	2	972	2402	160	2014.825
183	astm	0.0437	0.3928	1	1055	2834	181	2016.3536
184	astm d	0.0913	0.4634	1	503	966	64	2014.8906
185	astm d6751	-0.1761	0.3297	4	807	1986	132	2016.5606
186	astm d6751 standard	0.1303	0.4657	1	144	193	12	2017.75
187	astm specification	0.1138	0.4764	1	180	216	13	2016.1538
188	atm	0.4635	0.4025	3	343	624	46	2014.8478
189	atmospheric pressure	0.4204	0.3775	3	633	1213	106	2015.4528
190	atomic ratio	-0.1509	0.8512	1	230	329	18	2016
191	atomization	1.1284	-0.0865	3	515	1267	87	2016.0345
192	atomization characteristic	1.1052	-0.0913	3	147	231	18	2015.7778
193	atomizer	1.0494	-0.0397	3	132	277	21	2014.9048
194	attractive feedstock	-0.5378	0.1866	4	155	173	11	2016.6364
195	attractiveness	-0.1768	-0.6185	2	211	268	15	2013.6667
196	august	-0.2155	-0.5484	2	146	172	14	2016.0714
197	australia	-0.239	-0.5614	2	311	438	29	2013.7931
198	austria	-0.439	-0.5476	2	158	194	13	2012.2308
199	auto ignition	1.0173	-0.0356	3	252	407	25	2016.36
200	autoignition	0.9026	0.0485	3	169	249	16	2016.75
201	automotive diesel engine	0.9235	-0.3572	3	201	306	22	2014.5
202	automotive engine	0.7901	-0.2793	3	229	291	20	2015.15
203	autumn	-0.5311	-0.319	2	200	265	20	2014.95
204	available biofuel	0.6581	-0.4003	3	122	136	11	2011.9091
205	available resource	-0.2566	-0.6182	2	126	143	11	2015.7273
206	available technology	-0.6241	-0.4909	2	171	196	15	2015.8
207	average particle size	0.1549	0.6172	1	228	303	16	2017.3125
208	average reduction	0.8413	-0.2909	3	205	304	16	2015.75
209	aviation industry	-0.1581	-0.4687	2	276	416	30	2018.5667
210	aviation sector	-0.1522	-0.523	2	302	438	33	2018.2121
211	avoidance	-0.4452	-0.3921	2	180	216	17	2014.4706
212	awareness	-0.1934	-0.6048	2	368	499	40	2015.725
213	b10	0.8152	-0.0498	3	510	1123	66	2017.4697
214	b100	0.6816	0.0818	3	267	382	22	2017.3182
215	b15	0.8752	-0.1349	3	220	358	21	2018.1905
216	b20	0.8867	-0.1946	3	1325	6233	371	2016.1536
217	b20 blend	0.9151	-0.1362	3	377	797	48	2017.1458
218	b20 fuel	0.9453	-0.2222	3	303	486	29	2015.7241
219	b30	1.1386	-0.1703	3	146	194	13	2018.9231
220	b50	0.6753	-0.2494	3	329	522	29	2015.6897
221	b60	1.0872	-0.3146	3	158	238	13	2017.5385
222	bacillus	-0.5167	0.1858	4	118	138	10	2016.2
223	bacterial strain	-0.6637	0.2417	4	132	191	15	2017.8
224	bacterium	-0.5488	0.1195	4	707	1475	121	2016.6612
225	ball	0.5692	0.2145	3	168	281	23	2015.8261
226	bap	0.3913	-0.3314	3	115	158	11	2013.6364
227	bar	0.6663	0.2436	3	1443	5206	297	2017.468
228	bar h2	-0.1759	0.8126	1	127	169	10	2018.9
229	bar imep	1.3493	-0.2313	3	159	254	12	2015.75
230	bar injection pressure	1.483	-0.1767	3	202	372	17	2019.0588
231	bar pressure	-0.2066	0.3836	1	163	194	14	2017.5714
232	barley	-0.473	-0.6707	2	210	279	17	2013.6471
233	barrel	-0.491	-0.376	2	221	274	23	2013.8261
234	basal medium	-0.908	0.1978	4	273	459	24	2017.3333
235	base case	-0.5267	-0.4179	2	374	561	36	2015.4167
236	base case scenario	-0.6018	-0.6389	2	161	204	12	2014
237	base catalyst	-0.0813	0.7254	1	410	702	47	2015.6809
238	base diesel	1.1206	-0.1267	3	137	194	11	2017.2727
239	base fuel	1.204	-0.0811	3	446	939	48	2017
240	baseline diesel	1.0924	-0.279	3	319	534	25	2017.24
241	baseline diesel fuel	1.2013	-0.013	3	194	304	17	2012.3529
242	baseline fuel	1.1609	-0.2027	3	245	364	20	2015.4
243	baseline scenario	-0.513	-0.7784	2	255	358	23	2016.4783
244	basic catalyst	-0.0275	0.7489	1	274	487	34	2015.9706
245	basic property	0.1872	0.6373	1	158	208	15	2014
246	basic site	-0.0839	0.9516	1	247	410	20	2018.75
247	basic strength	-0.0469	0.9603	1	162	277	12	2017.1667
248	basicity	-0.07	0.9395	1	416	1022	53	2017.2264
249	batch	-0.4395	0.3591	4	722	1351	96	2015.1667
250	batch cultivation	-0.8768	0.2746	4	237	438	28	2015.75
251	batch culture	-0.9232	0.2557	4	314	671	40	2013.75
252	batch experiment	-0.5451	0.3629	4	233	303	21	2015.8095
253	batch fermentation	-0.8141	0.2274	4	236	396	26	2014.5
254	batch mode	-0.5823	0.3818	4	285	437	28	2015.7143
255	batch process	-0.5093	0.3666	4	302	435	35	2015.0857
256	batch reactor	-0.1981	0.6425	1	800	1869	122	2016.4344
257	battery	-0.0793	-0.6259	2	262	388	35	2015.0857
258	battery electric vehicle	-0.1883	-0.7936	2	198	278	16	2013.5625
259	bbd	-0.1231	0.6256	1	209	289	15	2019.8667
260	bbl	-0.3955	-0.5235	2	137	168	11	2010.3636
261	bd20	1.1836	-0.1838	3	127	198	11	2016.4545
262	bed reactor	-0.1632	0.6394	1	906	2651	187	2016.1444
263	beef tallow biodiesel	0.391	-0.2126	3	107	125	11	2015.7273
264	benchmark	-0.3721	-0.2589	2	258	328	19	2017.7895
265	bentonite	-0.2079	0.7334	1	138	181	12	2016.0833
266	best blend	1.1513	-0.4056	3	134	231	12	2018.8333
267	best catalyst	-0.1053	0.9197	1	204	296	17	2017.1765
268	best catalytic activity	-0.1272	0.8964	1	133	186	11	2017
269	best catalytic performance	-0.0705	0.961	1	127	184	11	2017.8182
270	best condition	-0.214	0.2904	1	296	455	33	2016.4545
271	bet	-0.0781	0.9317	1	797	2791	131	2017.5954
272	bet surface area	-0.2114	0.8918	1	253	399	20	2018.3
273	better combustion	1.2643	-0.1092	3	261	445	24	2018.25
274	better engine performance	1.2352	-0.226	3	221	346	18	2016.0556
275	better performance	0.7131	-0.1133	3	688	1530	94	2017.2872
276	bg11 medium	-1.0035	0.2865	4	136	206	11	2018.7273
277	bha	0.4194	0.2642	1	165	366	27	2015.1111
278	bhd	-0.4282	-0.2876	2	105	129	10	2018.3
279	bht	0.3473	0.3099	1	229	469	35	2015.3429
280	bifunctional catalyst	-0.1787	0.8338	1	262	403	26	2018.1538
281	bimetallic catalyst	-0.074	0.8791	1	224	351	20	2019.95
282	binary blend	0.9343	-0.0161	3	254	401	26	2017.9615
283	binary mixture	0.4339	0.2699	3	292	415	41	2017.5366
284	bio alcohol	0.7868	-0.0851	3	173	222	13	2018.7692
285	bio char	-0.2541	0.3913	1	433	858	65	2016.3846
286	bio crude	-0.3716	0.2694	1	218	306	21	2018.381
287	bio crude oil	-0.5208	0.1949	1	164	214	14	2018
288	bio hydrocarbon	-0.2861	0.2561	1	162	201	12	2017.0833
289	bio oil	-0.1352	0.3727	1	2061	10850	806	2016.6303
290	bio oil fraction	-0.2939	0.3284	1	202	262	19	2015.4211
291	bio oil model compound	-0.0269	0.8251	1	156	256	14	2017.5
292	bio oil production	-0.3534	0.2521	1	619	1233	86	2017.4767
293	bio oil property	-0.1495	0.5986	1	160	221	15	2016.8
294	bio oil quality	-0.2696	0.6214	1	205	292	20	2017.4
295	bio oil sample	0.0334	0.5342	1	172	255	20	2016.65
296	bio oil upgrading	-0.3183	0.348	1	291	433	25	2016.8
297	bio oil yield	-0.2874	0.4343	1	709	1736	116	2017.1121
298	bio product	-0.6689	0.0691	4	234	299	21	2018.7143
299	biobutanol production	-0.5804	-0.0139	4	117	175	17	2017.2353
300	biocatalyst	-0.3421	0.5113	1	611	1429	100	2016.19
301	biochemical	-0.6185	-0.0752	4	309	387	26	2018.3462
302	biochemical composition	-0.8513	0.1391	4	327	596	36	2017.3889
303	biochemical conversion	-0.6663	-0.4865	2	127	146	10	2016.3
304	biochemical process	-0.738	-0.1063	4	104	116	13	2014.7692
305	bioconversion	-0.7279	0.0898	4	419	642	47	2016.4043
306	biocrude	-0.4052	0.2211	1	572	1119	78	2016.7692
307	biocrude oil	-0.3494	0.4671	1	226	326	21	2018.1905
308	biocrude production	-0.5896	0.1222	1	169	244	15	2016.6667
309	biocrude yield	-0.5798	0.2644	1	219	367	23	2017.4348
310	biodegradation rate	-0.2094	0.0723	4	66	92	12	2015.0833
311	biodiesel addition	0.7037	-0.1374	3	139	183	11	2015
312	biodiesel application	-0.4057	0.1401	4	178	205	13	2016.1538
313	biodiesel b20	0.5919	-0.125	3	119	151	10	2015.2
314	biodiesel blend	0.8569	-0.1964	3	1563	8283	520	2016.0442
315	biodiesel blend fuel	1.0982	-0.3188	3	163	258	13	2015.0769
316	biodiesel combustion	0.7722	-0.0417	3	338	489	34	2015.3529
317	biodiesel concentration	0.569	-0.0949	3	233	380	32	2013.6562
318	biodiesel consumption	-0.3211	-0.8677	2	165	207	12	2012.6667
319	biodiesel content	0.6771	-0.0764	3	528	978	69	2015.1739
320	biodiesel conversion	-0.3119	0.555	1	426	791	49	2016.6735
321	biodiesel degradation	0.1763	0.1599	1	97	140	15	2017
322	biodiesel demand	-0.4649	-0.7179	2	132	166	15	2015.6
323	biodiesel development	-0.5344	-0.6392	2	125	144	11	2015.5455
324	biodiesel diesel	0.9167	-0.1052	3	261	433	29	2015.069
325	biodiesel diesel blend	0.9362	-0.137	3	661	1737	103	2016.0777
326	biodiesel diesel fuel blend	1.1215	-0.0519	3	220	345	22	2015.6818
327	biodiesel diesel mixture	0.6382	-0.087	3	122	152	12	2017.3333
328	biodiesel emission	0.5736	-0.3809	3	150	244	17	2014.6471
329	biodiesel engine	0.9993	-0.1561	3	203	289	19	2016.9474
330	biodiesel exhaust	0.5179	-0.3095	3	199	361	29	2015.3448
331	biodiesel fuel blend	0.9628	-0.1341	3	294	488	31	2016.6452
332	biodiesel fuel production	-0.365	0.7192	1	134	219	18	2010.3333
333	biodiesel increase	1.2029	-0.1839	3	147	214	13	2014.8462
334	biodiesel mixture	0.5656	-0.0171	3	239	331	27	2015.4815
335	biodiesel oxidation	0.4131	0.2994	1	89	106	10	2015.9
336	biodiesel percentage	0.685	-0.1872	3	132	178	14	2014.9286
337	biodiesel preparation	-0.1475	0.635	1	286	458	29	2015.5862
338	biodiesel price	-0.5592	-0.4593	2	139	199	18	2015.3333
339	biodiesel product	-0.1154	0.4269	1	374	621	44	2015.5682
340	biodiesel production plant	-0.4202	-0.334	2	157	184	19	2014.5263
341	biodiesel production potential	-0.6912	0.0215	4	131	163	12	2018.1667
342	biodiesel property	-0.4671	0.219	4	759	1725	118	2016.8898
343	biodiesel quality	-0.3698	0.1905	4	606	1148	87	2015.4713
344	biodiesel quality control	0.1724	0.2006	1	72	92	10	2014.8
345	biodiesel specification	-0.0384	0.4125	1	180	253	20	2013.8
346	biodiesel standard	-0.1832	0.2469	4	674	1481	107	2015.0374
347	biodiesel supply chain	-0.5004	-0.748	2	175	258	21	2016.1429
348	biodiesel surrogate	0.6843	0.1781	3	129	160	11	2015
349	biodiesel synthesis	-0.2412	0.6013	1	810	2241	150	2016.5733
350	biodiesel usage	0.8322	-0.4779	3	180	247	17	2016.8824
351	biodiesel yield	-0.2013	0.587	1	1080	3869	248	2016.5605
352	biodiversity	-0.5468	-0.6687	2	475	856	54	2014.6481
353	bioeconomy	-0.6036	-0.5514	2	248	358	24	2019.0417
354	bioelectricity	-0.5768	-0.7877	2	260	349	22	2016.9091
355	bioenergy	-0.5115	-0.5794	2	1091	2858	202	2015.9208
356	bioenergy crop	-0.5802	-0.5433	2	373	619	38	2015.9474
357	bioenergy feedstock	-0.6553	-0.5738	2	178	216	15	2017.4
358	bioenergy potential	-0.444	-0.7058	2	134	177	14	2017.5714
359	bioenergy production	-0.6194	-0.5118	2	689	1332	85	2016.6
360	bioenergy system	-0.5796	-0.751	2	218	324	21	2015.381
361	bioethanol production	-0.6072	-0.3132	2	715	1414	104	2016.7788
362	biofertilizer	-0.6698	-0.2953	2	175	213	16	2017.6875
363	biofuel additive	0.0343	0.5446	1	346	554	38	2017.4211
364	biofuel blend	1.1072	-0.1798	3	869	2739	164	2017.0976
365	biofuel candidate	0.4987	0.183	3	315	468	36	2016.8889
366	biofuel combustion	0.2724	-0.3942	2	232	357	31	2012.871
367	biofuel consumption	-0.3213	-0.7825	2	168	226	18	2015.2222
368	biofuel content	0.6253	-0.3742	3	233	318	25	2015.88
369	biofuel crop	-0.5859	-0.5617	2	460	931	71	2013.6197
370	biofuel demand	-0.4763	-0.7934	2	188	268	18	2017.5556
371	biofuel development	-0.3934	-0.5277	2	367	538	40	2014.25
372	biofuel mandate	-0.3339	-0.7865	2	122	180	16	2015.9375
373	biofuel market	-0.4205	-0.7722	2	215	343	28	2015.1071
374	biofuel mixture	0.8195	0.0105	3	183	244	25	2015.32
375	biofuel pathway	-0.5856	-0.6743	2	301	447	23	2014.8261
376	biofuel plant	-0.3566	-0.4511	2	309	421	35	2015.5714
377	biofuel policy	-0.3851	-0.8395	2	408	843	68	2015.1912
378	biofuel potential	-0.7287	-0.1657	4	203	242	15	2015.4
379	biofuel precursor	-0.4477	0.4949	1	224	282	21	2017.9524
380	biofuel producer	-0.5272	-0.7092	2	223	298	22	2016.6818
381	biofuel production cost	-0.5605	-0.4495	2	168	216	15	2016.5333
382	biofuel production system	-0.6276	-0.6916	2	249	357	23	2013.3043
383	biofuel project	-0.4861	-0.8533	2	151	217	15	2016
384	biofuel sector	-0.43	-0.6908	2	229	319	21	2015.9524
385	biofuel supply chain	-0.5562	-0.8078	2	235	390	28	2016.5
386	biofuel synthesis	-0.3666	0.5742	1	147	172	13	2017.5385
387	biofuel system	-0.6368	-0.6368	2	246	328	21	2016.5238
388	biofuel technology	-0.4225	-0.5437	2	345	486	39	2014.6154
389	biofuel usage	-0.0359	-0.7302	2	96	108	12	2014.0833
390	biofuel use	0.0453	-0.5651	2	372	537	41	2015.439
391	biofuels industry	-0.4907	-0.6705	2	306	509	35	2012.8571
392	biofuels sector	-0.5939	-0.8134	2	88	112	11	2016.7273
393	biogas plant	-0.5158	-0.6656	2	221	300	20	2017.2
394	biogas production	-0.6202	-0.3515	2	556	1015	74	2016.5541
395	biogasoline	0.0918	0.7641	1	172	239	17	2017.4118
396	biohydrogen	-0.6267	-0.372	2	388	603	42	2015.4286
397	biohydrogen production	-0.6939	-0.0244	4	172	211	17	2016.1765
398	biological process	-0.5302	-0.2421	2	281	334	24	2015.1667
399	biolubricant	-0.2742	0.1969	1	145	164	12	2016.5
400	biomass accumulation	-0.8229	-0.1079	4	128	177	13	2015.6154
401	biomass availability	-0.5536	-0.826	2	179	270	20	2014.45
402	biomass burning	0.0704	-0.4509	2	193	362	31	2014.129
403	biomass composition	-0.6141	0.0722	4	149	183	12	2017.4167
404	biomass concentration	-0.8856	0.1276	4	388	766	44	2016.7273
405	biomass cultivation	-0.682	-0.5721	2	178	217	17	2016.7647
406	biomass energy	-0.3683	-0.4618	2	270	375	25	2012.88
407	biomass gasifier	-0.3861	-0.1778	2	116	130	11	2015
