id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
904	current technology	-0.5026	-0.329	2	239	280	18	2016.8889
905	customer	-0.184	-0.6377	2	135	154	14	2014.7143
906	cyanobacteria	-0.7017	0.0637	4	292	455	29	2018
907	cyanobacterium	-0.7534	0.0476	4	475	857	55	2016.7636
908	cyclic ether	0.3805	0.5498	3	78	117	10	2016.2
909	cyclic hydrocarbon	-0.2197	0.7917	1	177	290	17	2017.9412
910	cyclic ketone	0.0477	0.8202	1	83	141	11	2017.4545
911	cycloalkane	0.1597	0.5661	1	241	364	24	2018.5
912	cyclohexane	0.064	0.5556	1	322	472	31	2016.7419
913	cyclohexanone	0.0144	0.7835	1	183	292	18	2017.3333
914	cyclopentanone	0.1683	0.5553	1	281	412	26	2017.9615
915	cylinder	1.245	-0.2534	3	764	2818	157	2014.9809
916	cylinder diesel engine	1.0039	-0.2814	3	323	566	30	2015.6
917	cylinder head	1.2325	-0.1474	3	226	416	19	2015.9474
918	cylinder liner	0.8584	0.1627	3	143	242	18	2015.4444
919	cylinder peak pressure	1.3859	-0.1551	3	214	380	17	2016.4118
920	cylinder pressure	1.3678	-0.1429	3	894	4285	197	2017.9949
921	cylinder temperature	1.2804	-0.1035	3	250	441	23	2017.2609
922	cytotoxicity	0.5086	-0.2651	3	188	315	25	2015.04
923	d6751	-0.3264	0.3159	4	164	217	13	2015.6923
924	daf	-0.5116	0.3633	1	130	169	12	2016.6667
925	dark fermentation	-0.6906	0.0989	4	119	147	10	2019.2
926	day1	-0.9029	0.2073	4	282	516	28	2019.8214
927	dbe	0.8308	0.1453	3	247	374	25	2017.44
928	dcw	-0.943	0.223	4	228	422	22	2017.1364
929	deactivation	-0.1294	0.7593	1	498	978	62	2016.6129
930	debate	-0.3704	-0.6238	2	448	805	55	2014.5091
931	decane	0.3031	0.3225	3	126	145	13	2015.6923
932	decarbonization	-0.1845	-0.6796	2	242	321	22	2019.5909
933	decarbonylation	-0.1689	0.7861	1	509	1176	66	2017.4848
934	decarboxylation	-0.2247	0.723	1	705	1726	108	2016.3889
935	decarboxylation reaction	-0.1408	0.6325	1	200	259	17	2016.5294
936	december	-0.0785	-0.6236	2	170	208	20	2014.85
937	decision	-0.3675	-0.7061	2	907	2295	172	2016.157
938	decision maker	-0.3706	-0.8523	2	354	606	42	2015.1667
939	decision making	-0.2904	-0.7243	2	329	522	41	2016.6585
940	decrement	1.5533	-0.1703	3	140	255	13	2019.8462
941	dee	1.0033	-0.0752	3	460	963	54	2018.2963
942	definition	-0.2213	-0.5712	2	365	492	35	2015.3714
943	deforestation	-0.4723	-0.7405	2	312	513	32	2015.0312
944	degraded land	-0.6028	-0.7926	2	210	343	23	2013.3478
945	dehydration	-0.1818	0.4818	1	598	1051	72	2016.7917
946	dehydrogenation	0.0171	0.7486	1	181	252	17	2018.3529
947	delay	0.8162	-0.2988	3	495	810	49	2015.9388
948	denitrogenation	-0.3662	0.6648	1	112	164	12	2016.4167
949	denmark	-0.4357	-0.7065	2	184	239	14	2012.7143
950	density functional theory	0.0145	0.6507	1	149	206	17	2018.6471
951	deoxygenation	-0.1562	0.772	1	900	3175	194	2017.433
952	deoxygenation process	-0.1114	0.7458	1	233	338	17	2019.1765
953	deoxygenation reaction	-0.1627	0.7701	1	275	422	26	2017.4231
954	deployment	-0.3963	-0.6819	2	605	1084	77	2016.4675
955	depolymerization	-0.3542	0.419	1	298	422	29	2018.6207
956	design methodology approach	0.1326	-0.5692	2	187	266	20	2015.75
957	desirability approach	1.2321	0.0505	3	149	308	14	2018.3571
958	desmodesmus	-0.9391	0.2076	4	161	245	13	2017.8462
959	desorption	-0.0652	0.9188	1	508	1261	61	2016.7541
960	detailed mechanism	0.6704	0.1431	3	107	146	11	2014
961	detoxification	-0.6332	0.0559	4	195	248	18	2017.0556
962	developed country	-0.3043	-0.539	2	193	241	19	2013
963	developed model	0.6177	0.0821	3	276	409	29	2018.6897
964	dft	-0.0248	0.7289	1	116	153	12	2018.75
965	di diesel engine	1.306	-0.1134	3	638	2097	105	2015.7238
966	diatom	-0.8855	0.0848	4	172	269	18	2015.8889
967	dichloromethane	0.0821	0.2328	1	218	294	23	2015.7391
968	diesel biodiesel	0.94	-0.1607	3	281	463	28	2015.4286
969	diesel biodiesel blend	0.7734	-0.0545	3	543	1130	74	2016.8108
970	diesel biodiesel mixture	0.8626	-0.2457	3	142	189	13	2017.8462
971	diesel blend	0.9788	-0.1252	3	1199	4514	266	2016.4812
972	diesel combustion	0.6619	-0.2348	3	294	431	27	2014.037
973	diesel consumption	-0.3024	-0.7552	2	323	484	36	2015.2222
974	diesel demand	-0.4886	-0.7401	2	159	209	17	2013.5294
975	diesel emission	0.5732	-0.3696	3	209	317	23	2015.3913
976	diesel engine	0.959	-0.1699	3	2299	23840	1511	2015.4295
977	diesel engine application	1.1799	-0.2424	3	272	484	25	2017.44
978	diesel engine combustion	0.9785	-0.2576	3	157	232	13	2015.3077
979	diesel engine emission	0.8468	-0.2257	3	298	493	31	2014.2581
980	diesel engine exhaust	0.861	-0.1381	3	139	204	13	2013.2308
981	diesel engine fuel	1.027	-0.1043	3	171	227	14	2012.7143
982	diesel engine generator	0.959	-0.3806	3	144	263	17	2015.5882
983	diesel engine operating	1.1961	-0.2165	3	310	647	40	2012.675
984	diesel engine operation	1.1496	-0.1594	3	216	328	18	2014.7222
985	diesel engine performance	1.245	-0.1038	3	476	1251	71	2016.4507
986	diesel exhaust	0.5534	-0.3372	3	221	371	30	2014.4
987	diesel fraction	-0.2132	0.7502	1	240	375	28	2017.1071
988	diesel fuel blend	1.0888	-0.1983	3	470	1114	71	2015.493
989	diesel fuel operation	1.3504	-0.335	3	179	291	15	2016
990	diesel generator	0.5098	-0.4788	3	242	417	34	2014.3529
991	diesel operation	1.325	-0.2668	3	397	1033	50	2016.54
992	diesel oxidation catalyst	0.841	-0.2969	3	294	547	33	2015.1212
993	diesel particle filter	0.7263	-0.4064	3	182	293	18	2014.1667
994	diesel particulate filter	0.8041	-0.329	3	295	564	39	2014.4615
995	diesel power generator	1.1196	-0.4407	3	108	165	11	2015.4545
996	diesel price	-0.5681	-0.6676	2	239	347	26	2015.3846
997	diesel range	-0.2325	0.6915	1	260	416	26	2016.9615
998	diesel range hydrocarbon	-0.2165	0.7391	1	146	206	12	2018.75
999	diesel soot	0.777	0.1679	3	115	172	11	2014.1818
1000	diesel vehicle	0.4106	-0.5499	3	453	775	60	2013.3667
1001	diet	-0.7184	-0.2377	4	183	216	18	2016.1111
1002	diethyl ether	0.9089	0.1367	3	580	1252	71	2018.3239
1003	differential scanning calorimetry	0.0896	0.4389	1	248	404	36	2016.1389
1004	differential thermal analysis	0.0715	0.832	1	154	219	13	2016.1538
1005	digestate	-0.6718	-0.568	2	342	590	35	2017.9429
1006	diglyceride	0.0067	0.469	1	194	285	20	2014.2
1007	dilution rate	-0.4237	0.1502	4	151	212	13	2014.9231
1008	dimensional gas chromatography	-0.1036	0.3517	1	125	171	18	2015.8889
1009	dimer	-0.0731	0.5888	1	194	255	18	2018.5556
1010	dimethyl	0.3994	0.1449	3	162	194	15	2016.0667
1011	dimethyl carbonate	0.4826	0.3844	1	309	542	33	2016.9697
1012	dimethylfuran	0.6357	0.2915	3	431	907	59	2017.6102
1013	direct conversion	-0.3665	0.5525	1	323	483	33	2016.3636
1014	direct emission	-0.0686	-0.5748	2	203	252	14	2015.0714
1015	direct injection	1.1841	-0.2732	3	845	3167	160	2014.7562
1016	direct injection ci engine	1.2323	-0.183	3	157	253	13	2016.5385
1017	direct injection compression ignition engine	1.2548	-0.2128	3	274	508	26	2014.5769
1018	direct injection diesel engine	1.3625	-0.1805	3	737	3023	160	2015.125
1019	direct injection engine	1.0687	-0.2443	3	294	491	26	2015.3077
1020	direct land use change	-0.4669	-0.852	2	157	254	15	2013.5333
1021	direct production	-0.3421	0.5129	1	115	134	10	2019
1022	direct transesterification	-0.4897	0.4913	1	287	487	31	2016.0968
1023	directive	-0.2408	-0.5962	2	405	648	45	2012.6222
1024	discount rate	-0.6043	-0.498	2	193	268	15	2017.6
1025	disease	-0.0914	-0.4283	2	389	595	46	2015.2826
1026	dispersion	0.0814	0.5959	1	646	1199	73	2017.4521
1027	displacement	-0.1771	-0.6406	2	426	644	43	2013.9535
1028	disruption	-0.6618	-0.0825	4	337	450	30	2015.2667
1029	district	-0.4889	-0.6146	2	305	480	35	2015.8
1030	district heating	-0.3821	-0.7062	2	155	225	14	2012.5714
1031	diversification	-0.1925	-0.6574	2	338	533	43	2013.7209
1032	dmc	0.5732	0.4321	1	264	449	25	2016.44
1033	dmf	0.5896	0.2937	3	440	882	58	2017.3966
1034	dmso	-0.2521	0.7284	1	119	144	10	2018.3
1035	doc	0.7584	-0.2412	3	219	330	21	2016.381
1036	dodecane	0.0092	0.3974	1	297	402	28	2017.3929
1037	domestic wastewater	-0.9365	0.1333	4	130	179	10	2016.3
1038	doping	0.2692	0.739	1	302	444	23	2019.6522
1039	doubt	-0.2231	-0.8348	2	117	133	11	2010.0909
1040	downstream process	-0.602	-0.0368	4	190	229	17	2016.2353
1041	downstream processing	-0.542	0.0674	4	206	261	19	2018.3684
1042	dpf	0.7104	-0.3837	3	361	796	51	2014.2941
1043	drastic reduction	0.5386	-0.169	3	207	264	14	2016.4286
1044	driver	-0.3852	-0.5512	2	605	1050	67	2015.3284
1045	droplet size	1.0532	-0.0673	3	242	403	36	2016.3889
1046	drought	-0.6368	-0.4762	2	266	442	31	2013.5161
1047	dry basis	-0.5594	0.0965	4	248	302	19	2015.1579
1048	dry biomass	-0.6939	0.1833	4	612	1136	69	2016.1449
1049	dry cell weight	-0.9533	0.2437	4	343	733	40	2016.225
1050	dry matter	-0.6311	-0.3194	2	243	318	25	2015.52
1051	dry weight	-0.8297	0.0847	4	681	1648	101	2015.4257
1052	dry weight basis	-0.7273	0.1332	4	163	198	13	2015.6154
1053	dsc	0.1874	0.4829	1	376	633	45	2016.8
1054	dual fuel	1.4115	-0.356	3	277	657	34	2017.5882
1055	dual fuel engine	1.4302	-0.2872	3	247	551	30	2017
1056	dual fuel mode	1.4185	-0.2707	3	356	1007	52	2016.8654
1057	dual fuel operation	1.482	-0.3116	3	186	354	19	2015.9474
1058	dynamometer	0.8668	-0.3946	3	279	508	36	2013.8611
1059	e coli	-0.6606	0.2151	4	302	597	41	2015.7073
1060	e10	0.776	-0.2787	3	244	354	24	2017.7083
1061	e15	0.8917	-0.4606	3	117	171	10	2018.3
1062	e20	1.1385	-0.2624	3	219	337	18	2017.3333
1063	e85	0.3926	-0.5525	3	280	392	27	2014.5185
1064	ecology	-0.4245	-0.4591	2	265	331	28	2015.2143
1065	economic	-0.5607	-0.3976	2	1040	2546	174	2015.477
1066	economic analysis	-0.5371	-0.3712	2	912	2292	155	2017.1484
1067	economic aspect	-0.41	-0.5033	2	250	310	24	2016.8333
1068	economic assessment	-0.5502	-0.3652	2	506	760	53	2016.0566
1069	economic benefit	-0.4428	-0.3958	2	448	627	44	2016.4091
1070	economic competitiveness	-0.5046	-0.3907	2	196	235	16	2016.5
1071	economic development	-0.4468	-0.6855	2	365	559	40	2014.55
1072	economic efficiency	-0.4086	-0.4501	2	183	239	16	2017.4375
1073	economic evaluation	-0.535	-0.2818	2	454	742	51	2016.3922
1074	economic factor	-0.5727	-0.6314	2	182	244	19	2015.7368
1075	economic feasibility	-0.5754	-0.368	2	885	2075	146	2016.5411
1076	economic growth	-0.3394	-0.6551	2	311	434	31	2015.3871
1077	economic impact	-0.4894	-0.6555	2	427	671	45	2015.7111
1078	economic incentive	-0.5426	-0.6842	2	162	198	13	2018.6154
1079	economic model	-0.6341	-0.5638	2	349	560	33	2016.1818
1080	economic parameter	-0.5536	-0.4743	2	133	156	10	2017.2
1081	economic performance	-0.5831	-0.5854	2	507	994	64	2017.2344
1082	economic perspective	-0.4472	-0.4773	2	191	241	17	2015.7647
1083	economic potential	-0.4813	-0.3667	2	402	612	41	2015.5366
1084	economic sustainability	-0.539	-0.3682	2	197	231	15	2016.3333
1085	economic viability	-0.6057	-0.2961	2	768	1453	100	2016.71
1086	economics	-0.5271	-0.7427	2	176	222	16	2013.1875
1087	ecosystem quality	-0.6056	-0.6903	2	163	227	14	2018
1088	ecosystem service	-0.6663	-0.6513	2	175	240	15	2017.6
1089	ecotoxicity	-0.4971	-0.7535	2	332	634	34	2016.9118
1090	eddy current dynamometer	1.3375	0.0088	3	185	347	16	2016.625
1091	eds	0.2022	0.7723	1	307	533	24	2019.2083
1092	education	-0.2926	-0.6882	2	210	276	19	2015.7368
1093	edx	-0.0798	0.8648	1	528	1258	57	2018.6667
1094	efb	-0.6152	-0.2543	2	123	188	12	2016.4167
1095	effective catalyst	-0.183	0.779	1	286	443	28	2016.75
1096	effective pressure	1.4049	-0.22	3	448	1225	54	2016.1852
1097	efficient biodiesel production	-0.4991	0.5557	1	170	226	15	2017.7333
1098	efficient catalyst	-0.192	0.7764	1	334	561	35	2016.9429
1099	efficient combustion	1.0954	-0.1512	3	228	316	14	2016.5
1100	efficient conversion	-0.3389	0.4181	1	315	411	28	2016.8214
1101	efficient method	-0.3477	0.4318	1	270	352	25	2017.96
1102	efficient production	-0.3762	0.418	1	339	476	33	2017.5455
1103	efficient synthesis	-0.3142	0.773	1	137	186	13	2016.1538
1104	efficient use	-0.3169	-0.4551	2	243	303	18	2013.2778
1105	effluent	-0.7043	0.0566	4	607	1147	78	2016.641
1106	egr	1.3179	-0.2572	3	714	2664	134	2017.0149
1107	egr rate	1.4169	-0.2761	3	369	991	46	2018.3043
1108	egt	1.3414	-0.0565	3	461	1471	62	2018.6935
1109	egypt	-0.5858	-0.1748	4	301	412	25	2017
1110	ehn	1.0471	0.0138	3	136	199	11	2016.7273
1111	eicosapentaenoic acid	-0.7967	0.1493	4	152	205	13	2014.7692
1112	electric vehicle	-0.1677	-0.773	2	327	641	49	2015.8776
1113	electrical conductivity	-0.5585	-0.2096	2	152	195	17	2016.4706
1114	electricity	-0.4385	-0.617	2	1284	4977	365	2015.1479
1115	electricity consumption	-0.6331	-0.6524	2	140	197	12	2016.3333
1116	electricity generation	-0.3365	-0.6397	2	476	815	61	2015.2295
1117	electricity price	-0.4352	-0.5684	2	167	225	14	2015.9286
1118	electricity production	-0.4147	-0.6473	2	419	735	46	2016.1739
1119	electrification	-0.0664	-0.7077	2	371	600	41	2017.122
1120	electrochemical impedance spectroscopy	0.2714	0.3585	1	59	74	12	2018.1667
1121	electron	-0.0422	0.6234	1	213	273	21	2018.2857
1122	electron microscope	0.1271	0.6379	1	332	568	30	2017.4
1123	electron microscopy	0.1112	0.7363	1	752	2075	110	2017.1727
1124	elemental analysis	0.0269	0.5612	1	685	1357	79	2017.4304
1125	elemental carbon	0.3701	-0.4316	2	326	742	51	2013.7255
1126	elemental composition	-0.135	0.3908	1	497	814	53	2016.3962
1127	elevated pressure	0.7051	0.1893	3	152	212	15	2014.5333
1128	emergence	-0.4117	-0.5629	2	351	492	39	2013.1795
1129	emf	-0.2485	0.8396	1	162	360	24	2017.25
1130	emission analysis	0.9032	-0.1418	3	482	1041	61	2017.2295
1131	emission behavior	1.1365	-0.0323	3	210	312	15	2018.2667
1132	emission characteristic	1.2616	-0.1509	3	1410	11602	630	2016.9603
1133	emission characteristics	1.3371	-0.2902	3	156	205	11	2018.1818
1134	emission factor	0.3182	-0.523	2	615	1406	98	2013.2653
1135	emission inventory	0.0679	-0.5935	2	194	339	27	2013.6296
1136	emission level	0.8057	-0.3394	3	682	1455	87	2016.3103
1137	emission measurement	0.8181	-0.4607	3	222	341	20	2014.35
1138	emission parameter	1.3316	-0.1412	3	506	1551	85	2017.7765
1139	emission rate	0.5085	-0.4308	3	301	483	34	2013.9706
1140	emission result	0.9666	-0.2879	3	385	749	39	2015.8974
1141	emission standard	0.7028	-0.4	3	343	501	30	2015.7
1142	emission study	0.7156	-0.1159	3	273	425	26	2015.6154
1143	emission test	0.8097	-0.2406	3	384	691	42	2014.5714
1144	emission value	0.4934	-0.5377	3	315	495	31	2015.4516
1145	emissions analysis	0.686	-0.4227	3	263	364	19	2014.6316
1146	emissions characteristic	1.2869	-0.2289	3	608	1652	84	2016.131
1147	emissions profile	0.3622	-0.4333	3	241	349	19	2013.5789
1148	emissions reduction	0.1152	-0.6077	2	623	1132	70	2015.5571
1149	empirical correlation	0.85	-0.0946	3	135	161	13	2018.0769
1150	empirical equation	-0.2455	0.1569	4	146	172	12	2016.5
1151	empty fruit bunch	-0.3977	0.1336	1	265	385	27	2016.8148
1152	emulsified fuel	1.1261	0.0373	3	117	148	11	2013.3636
1153	emulsion	0.8258	0.0611	3	716	1692	124	2016
1154	emulsion fuel	1.1749	0.0423	3	236	516	29	2017.0345
1155	en standard	0.0743	0.2759	4	228	307	15	2018.1333
1156	en14214	-0.236	0.2032	4	359	518	33	2017
1157	end use	-0.4471	-0.8017	2	237	327	21	2013.4286
1158	endophytic fungi	-0.2479	0.1807	4	107	133	13	2015.6923
1159	energy balance	-0.5136	-0.5574	2	902	2108	139	2014.4604
1160	energy carrier	-0.422	-0.4661	2	440	630	48	2014.0208
1161	energy cost	-0.4525	-0.4288	2	321	434	31	2015.129
1162	energy crop	-0.517	-0.5664	2	826	1892	132	2013.75
1163	energy dispersive x ray	-0.0422	0.9277	1	152	240	12	2017.25
1164	energy dispersive x ray spectroscopy	0.2161	0.6562	1	262	459	23	2019.6087
1165	energy flow	-0.5354	-0.483	2	226	299	20	2013.9
1166	energy independence	-0.5819	-0.5607	2	276	410	27	2012.5185
1167	energy input	-0.5342	-0.4295	2	670	1231	87	2014.1379
1168	energy integration	-0.4086	-0.1845	2	111	135	12	2017.6667
1169	energy loss	0.5726	-0.2936	3	127	152	13	2016.6154
1170	energy matrix	-0.3403	-0.5649	2	238	332	30	2016.6
1171	energy output	-0.5671	-0.2597	2	369	549	43	2015.3721
1172	energy performance	-0.3448	-0.5298	2	195	242	16	2015.9375
1173	energy policy	-0.4122	-0.7508	2	389	671	47	2016.0426
1174	energy potential	-0.3774	-0.5781	2	244	298	26	2015.9231
1175	energy price	-0.2503	-0.7362	2	200	250	17	2012.1765
1176	energy product	-0.6725	-0.3373	2	176	214	16	2015.375
1177	energy purpose	-0.362	-0.7281	2	217	314	24	2015.25
1178	energy return	-0.6306	-0.5234	2	353	628	41	2015.1707
1179	energy saving	-0.3228	-0.4417	2	364	525	44	2015.0682
1180	energy sector	-0.3109	-0.6026	2	523	884	55	2015.7636
1181	energy security	-0.1658	-0.5687	2	1010	2268	152	2014.8816
1182	energy storage	-0.3766	-0.5317	2	126	164	16	2017.8125
1183	energy supply	-0.4717	-0.5902	2	582	1059	75	2014.04
1184	energy sustainability	-0.2617	-0.4848	2	126	137	11	2015.3636
1185	energy system	-0.3295	-0.6824	2	597	1157	91	2015.956
1186	energy technology	-0.4793	-0.5444	2	186	234	20	2015.55
1187	energy use	-0.4503	-0.6455	2	674	1341	92	2013.9674
1188	energy yield	-0.5472	-0.1284	2	393	553	41	2016.6341
1189	engine	0.8814	-0.23	3	2558	27032	1780	2015.932
1190	engine application	0.9867	-0.0828	3	383	625	38	2017.3947
1191	engine characteristic	1.2841	-0.1015	3	539	1489	72	2018.8333
1192	engine combustion	1.1393	-0.1784	3	392	703	35	2018.0286
1193	engine component	0.7661	-0.203	3	181	267	17	2013.9412
1194	engine condition	1.1001	-0.0698	3	294	464	29	2013.8966
1195	engine cylinder	1.1314	-0.2116	3	180	242	15	2016.4667
1196	engine design	0.6594	-0.2077	3	240	313	20	2016.05
1197	engine efficiency	0.9462	-0.3242	3	528	1025	62	2016.129
1198	engine emission	0.922	-0.2678	3	511	1054	64	2015.3438
1199	engine exhaust	0.7745	-0.1655	3	263	384	23	2016.7391
1200	engine exhaust emission	1.041	-0.0682	3	274	463	27	2016.7778
1201	engine experiment	1.093	-0.1964	3	328	585	32	2017.25
1202	engine load	1.1824	-0.2559	3	952	4194	214	2016.9065
1203	engine load condition	1.3317	-0.2299	3	247	411	21	2016.6667
1204	engine modification	1.1561	-0.0609	3	548	1525	83	2015.7711
1205	engine operating	1.2388	-0.3061	3	327	651	34	2014.8529
1206	engine operating condition	1.0057	-0.2418	3	423	801	49	2016
1207	engine operating parameter	1.1815	-0.2311	3	224	407	20	2017.05
1208	engine operation	1.0362	-0.1825	3	637	1388	87	2015.9885
1209	engine parameter	1.1413	-0.226	3	453	1069	58	2018.3448
1210	engine performance	1.0947	-0.1432	3	1517	9300	547	2016.5978
1211	engine performance characteristic	1.1121	-0.3623	3	165	252	15	2018
1212	engine performance parameter	1.2999	-0.2351	3	253	506	28	2017.5357
1213	engine performance test	0.8799	0.1464	3	176	268	15	2014.8667
1214	engine power	0.8445	-0.2197	3	407	801	56	2014.9286
1215	engine speed	1.2285	-0.2651	3	865	3635	203	2016.266
1216	engine test	0.9085	-0.0469	3	743	1738	99	2016.4747
1217	engine test result	0.9901	0.0573	3	266	459	24	2016.3333
1218	engine testing	0.9391	0.0159	3	282	443	24	2017.4583
1219	engine torque	1.2593	-0.3453	3	277	607	34	2015.1471
1220	engine wear	0.8836	0.0121	3	167	220	16	2015.0625
1221	engineering	-0.5628	0.0253	4	639	1196	90	2015.8444
1222	enhanced production	-0.5929	0.0828	4	187	222	15	2017.2667
1223	enthalpy	0.3757	0.3998	1	338	484	41	2016.2195
1224	entire process	-0.6618	-0.102	4	132	159	11	2016.8182
1225	entropy	0.0763	0.4119	1	209	279	21	2018.1905
1226	environmental analysis	-0.532	-0.7355	2	286	467	30	2016.5667
1227	environmental assessment	-0.4026	-0.6486	2	490	876	60	2016.75
1228	environmental burden	-0.4755	-0.6269	2	392	665	41	2016.1463
1229	environmental condition	-0.5774	-0.2282	4	467	643	44	2016.25
1230	environmental consequence	-0.4211	-0.6445	2	295	445	28	2014.9643
1231	environmental cost	-0.4758	-0.6468	2	192	231	12	2014.25
1232	environmental criterium	-0.6013	-0.7037	2	197	302	21	2016.381
1233	environmental damage	-0.3533	-0.6898	2	139	172	16	2015.875
1234	environmental factor	-0.5286	-0.2181	2	176	205	17	2018.3529
1235	environmental impact	-0.3657	-0.5845	2	1791	7458	501	2016.2495
1236	environmental impact category	-0.562	-0.7886	2	183	281	15	2015.6
1237	environmental implication	-0.5935	-0.7108	2	243	358	21	2014.6667
1238	environmental indicator	-0.2732	-0.5918	2	148	184	14	2015.7143
1239	environmental performance	-0.4776	-0.6615	2	791	2122	131	2016.1603
1240	environmental perspective	-0.2935	-0.3975	2	208	259	17	2015.7647
1241	environmental profile	-0.583	-0.6578	2	189	283	15	2014.2667
1242	environmental risk	-0.4458	-0.5456	2	184	223	17	2017
1243	environmental sustainability	-0.5028	-0.4908	2	662	1172	76	2016.9211
1244	enzymatic biodiesel production	-0.3913	0.4753	1	133	201	16	2014.4375
1245	enzymatic catalysis	-0.3223	0.5501	1	112	165	13	2015.9231
1246	enzymatic hydrolysis	-0.6714	-0.0156	4	395	697	51	2016.5882
1247	enzymatic production	-0.1632	0.6283	1	154	259	18	2014.1667
1248	enzymatic synthesis	-0.2033	0.5674	1	110	166	14	2014
1249	enzymatic transesterification	-0.1993	0.5538	1	296	501	36	2015.8611
1250	enzyme	-0.5366	0.1986	4	1132	3223	237	2015.7679
1251	enzyme concentration	-0.2938	0.5808	1	185	306	19	2015.2105
1252	enzyme loading	-0.316	0.6961	1	126	224	17	2014.2353
1253	equivalence ratio	0.8488	0.1281	3	623	2019	136	2016.0735
1254	eroi	-0.6709	-0.4751	2	238	373	22	2016.1818
1255	erosion	-0.2584	-0.6108	2	247	329	19	2012.5789
1256	erucic acid	-0.3324	-0.0274	4	154	214	16	2016.75
1257	escherichia coli	-0.6902	0.2183	4	410	984	70	2015.7429
1258	ester content	-0.205	0.4459	1	443	757	65	2015.4462
1259	ester group	0.4714	0.3315	3	145	170	15	2014.8
1260	ester yield	-0.0271	0.5852	1	283	477	30	2012.6667
1261	esterification	-0.1172	0.5664	1	1559	5942	393	2015.1858
1262	esterification process	0.2211	0.3476	1	472	896	64	2015.3438
1263	esterification reaction	-0.1747	0.6944	1	531	1196	73	2016.3151
1264	estimate	-0.2375	-0.5754	2	1003	2111	144	2013.4792
1265	ethane	0.2257	0.2283	1	209	241	18	2015.3889
1266	ethanol addition	0.801	-0.0328	3	238	337	20	2016.05
1267	ethanol blend	0.8356	-0.285	3	537	1091	71	2016.2535
1268	ethanol diesel blend	0.9841	-0.2589	3	216	363	23	2013.5652
1269	ethanol fuel	0.5512	-0.3795	3	321	450	32	2013.875
1270	ethanol gasoline	0.7391	-0.0275	3	116	139	11	2014.8182
1271	ethanol gasoline blend	0.6003	-0.3353	3	227	318	21	2014.2857
1272	ethanol production	-0.5699	-0.4443	2	838	1877	138	2014.8261
1273	ethanol yield	-0.5736	-0.1599	2	281	402	29	2015.7586
1274	ethanolysis	-0.1786	0.6602	1	338	672	47	2015.0426
1275	ethene	0.487	0.1419	3	148	196	13	2013.6154
1276	etherification	-0.0869	0.786	1	348	720	49	2016.5306
1277	etherification reaction	0.0012	0.826	1	131	208	12	2016.9167
1278	ethiopia	-0.4792	-0.7256	2	187	213	14	2016.5
1279	ethyl acetate	-0.0472	0.4895	1	440	671	44	2017.2273
1280	ethyl biodiesel	0.0474	0.3331	1	135	172	15	2016.9333
1281	ethyl levulinate	-0.0029	0.6457	1	361	704	50	2017.44
1282	ethylbenzene	0.2826	0.2411	3	144	176	11	2014.2727
1283	ethylene	0.3361	0.2521	3	345	522	34	2016.4118
1284	ethylene glycol	-0.0602	0.364	1	143	161	13	2016.6154
1285	ethylhexyl nitrate	0.9891	0.0685	3	121	169	10	2016.6
1286	eu country	-0.2917	-0.7814	2	140	181	15	2013.2
1287	eu directive	-0.3004	-0.5437	2	119	141	12	2011.8333
1288	eu renewable energy directive	-0.4439	-0.7193	2	138	169	11	2017.1818
1289	eucalyptus	-0.3805	-0.457	2	254	312	19	2017.1579
1290	eucalyptus oil	1.4456	-0.1702	3	248	463	23	2017.5217
1291	eugenol	0.1641	0.6237	1	105	143	10	2017.4
1292	euphorbiaceae	-0.5068	-0.2511	2	125	186	19	2012.5263
1293	euphorbiaceae family	-0.5115	-0.139	2	72	89	10	2013.1
1294	euro	0.6344	-0.4686	3	588	1228	74	2013.7568
1295	european biodiesel standard	-0.4151	0.1014	4	134	155	10	2016.9
1296	european commission	-0.3912	-0.7849	2	259	422	33	2013
1297	european country	-0.3957	-0.84	2	201	272	20	2012.55
1298	european legislation	-0.0984	-0.4415	2	114	133	10	2015.2
1299	european standard	-0.0402	0.3002	1	332	520	38	2014.9211
1300	european union	-0.2945	-0.6412	2	856	1990	143	2015.4056
1301	eutrophication	-0.6118	-0.7039	2	540	1249	69	2014.9855
1302	eutrophication potential	-0.5685	-0.7702	2	308	553	26	2014.4231
1303	evaporation rate	0.7525	-0.2108	3	295	412	25	2016.84
1304	excellent catalytic activity	-0.2112	0.9268	1	148	194	12	2018.5833
1305	excellent catalytic performance	-0.2044	0.8883	1	198	285	16	2018.3125
1306	excellent yield	0.1462	0.6111	1	130	164	12	2017.4167
1307	exhaust	0.6995	-0.3141	3	906	2745	180	2014.8778
1308	exhaust emission	1.1079	-0.2262	3	1324	6943	386	2015.6684
1309	exhaust emission characteristic	1.2669	-0.2189	3	315	619	31	2016.129
1310	exhaust gas	0.8139	-0.2788	3	535	1032	70	2016.1286
1311	exhaust gas emission	1.0997	-0.302	3	414	973	53	2015.9811
1312	exhaust gas recirculation	1.326	-0.2418	3	667	2369	118	2016.8136
1313	exhaust gas temperature	1.3167	-0.1457	3	738	3139	152	2016.8882
1314	exhaust gase	0.788	-0.299	3	642	1365	96	2014.2708
1315	exhaust pipe	0.9627	-0.2995	3	164	201	11	2014.2727
